Gene	C2	C7	C3	C5	C12	C13	C14	C11	C4	C8	C6	C10	C9	C1
Gart	0.5894778415637859	0.7171202628865979	1.005560399590164	1.2354300572519084	0.44420272916666664	0.26284342156862744	0.48893351449275363	0.6587442427745664	0.43428266666666665	0.8088269027027027	1.298636642361111	1.0051987908163267	1.4909659520547944	1.7337990805860806
Gas1	0.289637475308642	0.43775702577319586	0.8535273463114754	0.2092380954198473	0.4386636666666667	1.7416592303921568	0.11694331884057971	0.20563992485549135	0.4170073756906077	0.18737688648648648	0.13158363541666668	0.09220730102040817	0.02859826712328767	0.10199132600732601
Gas5	1.1787814156378602	1.291378701030928	1.5477453831967214	1.8311527328244275	1.4093720041666666	1.6160978627450981	1.9410339565217392	1.6455014046242775	1.8198252725598527	2.2387851918918917	2.2179025173611113	1.9914550918367346	2.4574919897260274	1.9907857802197801
Gas6	0.7546500308641975	0.5895883453608247	0.7079400368852459	0.9107354923664122	0.923232975	1.9398574362745098	1.6733402826086958	1.6981246127167628	1.9277768784530387	1.6415661540540538	1.2872473402777778	1.4533319846938775	0.6577413630136986	0.15815005494505494
Gata2	0.17678603086419756	0.26049324742268043	0.18277114549180326	0.2103110114503817	0.026923045833333333	0.14327064215686275	0.012347789855072464	0.10879127745664739	0.06553747697974217	0.11303394594594596	0.06391116319444444	0.013224005102040816	0.09612997602739726	0.019283930402930402
Gata3	0.17938853086419754	0.20798907216494844	0.1063010225409836	0.12339447328244275	0.06750897083333333	0.08779901470588236	0.04531826086956522	0.1260500520231214	0.05308970902394106	0.049962916216216215	0.023796243055555555	0.005844372448979592	0.037548071917808214	0.011367410256410257
Gatad2b	0.05050118106995884	0.05914261855670103	0.03226020491803279	0.03519966412213741	0.04829113333333333	0.07952896078431373	0.024012304347826086	0.05736932369942196	0.04945569060773481	0.0490360972972973	0.031553250000000005	0.03911994387755102	0.053265147260273975	0.07127369597069598
Gbx2	0.002924804526748971	0.0	0.0	0.002349297709923664	0.0	0.0	0.0	0.0	0.0	0.02207824864864865	0.030402750000000003	0.0	0.05365806164383562	0.544847663003663
Gcat	0.17960489300411522	0.2588928969072165	0.3010167520491803	0.46038598473282444	0.2051484625	0.05621454901960784	0.08755831159420291	0.14730376300578032	0.1188051694290976	0.4534902756756757	0.7686736493055555	0.4978813928571429	1.0817737636986302	0.6311167545787546
Gclm	0.9510817962962963	1.1035357319587629	1.1436652766393443	1.8856288969465649	0.5497129541666667	0.48096766176470584	0.5093728043478261	0.7274133468208093	0.5817001841620626	1.0191082972972973	1.5725702430555557	0.8562933928571429	1.0139385684931508	1.620771054945055
Gcsh	1.2415431543209878	1.2832380927835052	1.1996732704918034	1.5465322938931299	0.7194236083333333	0.43066574019607845	0.46087481884057974	0.8265665722543353	0.5914357016574585	0.9504395621621622	1.3846865104166666	1.1043826734693878	1.162360226027397	1.9430834175824176
Gdf3	0.0	0.0	0.004578694672131147	0.027132343511450382	0.008233491666666667	0.014792392156862745	0.033696746376811595	0.010686664739884392	0.020534187845303867	0.10748143513513513	0.2082029340277778	0.015730030612244896	0.5222938732876712	1.1636947985347985
Gemin6	0.23950470164609056	0.6133062525773196	0.5234603278688524	0.7747757328244275	0.165784425	0.08249506862745098	0.23707876811594203	0.16187984971098265	0.13386641988950276	0.37093158918918917	0.7305631736111111	0.4735422653061225	0.5764657363013698	0.9997484761904761
Gga2	0.5671398477366255	0.5014013711340206	0.5080389467213114	0.5785961526717558	0.20301756666666665	0.3976685294117647	0.21072252173913045	0.3842757861271676	0.3197206758747698	0.5940854810810812	0.6850442951388889	0.6397624081632654	1.019287808219178	1.2998904615384614
Ggh	0.40194270781893005	0.4025568917525773	0.5120741331967213	0.6937666908396947	0.3720679666666667	0.5554937401960784	0.6026670072463768	1.2969781445086705	1.0338680552486188	0.5832882972972973	0.5146611597222222	0.7880459387755102	0.28793421232876715	0.23040091208791208
Ghr	1.0962773312757201	1.342971706185567	0.6831192131147541	0.6294236603053435	0.5580321291666667	1.110712774509804	0.573779652173913	1.1123664335260115	1.000064640883978	0.3555819783783784	0.1700097951388889	0.40490073469387755	0.05563880821917809	0.04901860805860806
Gins2	0.4114908909465021	0.8972536701030929	0.7570854856557377	0.8977034503816794	0.2852416208333333	0.1358845343137255	0.1155606811594203	0.14402351445086706	0.09615347513812154	0.4404056378378378	0.79316834375	0.5676144285714285	0.5981171575342465	1.0391822637362638
Gldc	0.004915240740740741	0.005250144329896907	0.008107747950819671	0.08613458396946566	0.008429987500000001	0.016169627450980394	0.013341659420289854	0.00385142774566474	0.004878462246777164	0.0720274081081081	0.20176688888888888	0.11317522959183672	0.45117788013698634	1.362267468864469
Gli1	0.0	0.0	0.0031706598360655737	0.0027512404580152675	0.007965825000000001	0.0	0.0	0.0	0.0053657661141804786	0.0076669648648648656	0.024405086805555556	0.0	0.019585068493150684	0.28308205494505495
Gli2	0.1797382304526749	0.17390714948453606	0.19855482581967213	0.13780559541984733	0.0789635625	0.2503030490196078	0.08219813768115942	0.14539581502890175	0.1120970423572744	0.16161527567567568	0.13915808333333335	0.1536819081632653	0.06908892123287672	0.3154805714285714
Gli3	0.6522261502057612	0.869307293814433	0.7394119139344262	0.7672709732824428	0.28626015833333335	0.8123380784313726	0.24316957971014494	0.8499235317919075	0.6103271344383057	0.5739318783783783	0.6186933611111111	0.5677906683673469	0.23833364041095892	0.44722165567765565
Glipr2	1.8822750288065844	1.8930612010309278	1.0362395143442624	1.0050584809160303	0.8148626833333333	0.7059877647058823	0.16105086956521739	0.47456475722543356	0.3731876114180479	0.6393394810810811	0.6742440000000001	0.33863699999999997	0.6941203561643836	0.7216834908424908
Glrx3	1.0859610226337448	1.1614133144329897	1.3105776454918032	1.5406793167938932	1.0329663541666667	1.0808712303921568	1.5514638840579709	1.8044937456647399	1.7795614898710865	1.4300817837837838	1.544582107638889	2.0738300153061227	1.2423926267123286	1.3584918021978023
Glrx5	1.4897658765432098	1.5785426185567009	1.851401969262295	2.144046248091603	1.1198716708333334	1.0393273235294118	1.1038990579710144	1.5243198901734103	1.214230979742173	1.5727050486486485	1.9336840729166669	1.6687987806122448	1.2274358493150686	1.0674677838827837
